island_identification_code,island,station_name,species_name,survey_year,flowering_date,day
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2008,25-mai,145
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2009,24-mai,144
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2010,21-mai,141
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2011,00-janv,NA
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2012,28-mai,148
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2013,20-mai,140
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2014,27-mai,147
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2015,04-juin,155
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2016,26-mai,146
FANT,du Fantôme,Fantôme 6,Arctostaphylos.uva-ursi,2017,00-janv,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2008,23-mai,143
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2009,24-mai,144
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2010,00-janv,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2011,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2012,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2013,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2014,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2015,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2016,NA,NA
FANT,du Fantôme,Fantôme 7,Arctostaphylos.uva-ursi,2017,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2008,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2009,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2010,NA,NA
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2011,27-mai,147
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2012,19-mai,139
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2013,10-mai,130
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2014,25-mai,145
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2015,28-mai,148
